symbol,direction,entry_timestamp,entry_price,exit_timestamp,exit_price,quantity,stop_price,take_profit_price,fees,slippage,realized_pnl,exit_reason
QQQ,short,2025-01-02T09:35:00-05:00,512.44,2025-01-02T09:54:00-05:00,514.92,48,514.92,487.640000000001,0.048,0.0,-119.08799999999542,STOP_LOSS
QQQ,long,2025-01-03T09:35:00-05:00,514.22,2025-01-03T10:20:00-05:00,512.96,48,512.96,526.8199999999999,0.048,0.0,-60.527999999999565,STOP_LOSS
QQQ,long,2025-01-06T09:35:00-05:00,525.12,2025-01-06T13:45:00-05:00,523.76,47,523.76,538.7200000000001,0.047,0.0,-63.96700000000064,STOP_LOSS
QQQ,short,2025-01-07T09:35:00-05:00,524.59,2025-01-07T15:59:00-05:00,515.15,47,525.99,510.59000000000026,0.047,0.0,443.63300000000254,END_OF_DAY
QQQ,long,2025-01-08T09:35:00-05:00,515.42,2025-01-08T09:38:00-05:00,514.19,48,514.19,527.719999999999,0.048,0.0,-59.08799999999542,STOP_LOSS
QQQ,short,2025-01-10T09:35:00-05:00,510.77,2025-01-10T15:59:00-05:00,507.21,49,511.58,502.66999999999996,0.049,0.0,174.3910000000001,END_OF_DAY
QQQ,short,2025-01-14T09:35:00-05:00,508.8,2025-01-14T09:35:00-05:00,509.02,49,509.02,506.6000000000003,0.049,0.0,-10.828999999998551,STOP_LOSS
QQQ,long,2025-01-15T09:35:00-05:00,513.4,2025-01-15T09:37:00-05:00,512.37,49,512.37,523.6999999999997,0.049,0.0,-50.51899999999866,STOP_LOSS
QQQ,short,2025-01-16T09:35:00-05:00,517.38,2025-01-16T15:59:00-05:00,513.07,48,519.0599,500.58100000000024,0.048,0.0,206.83199999999738,END_OF_DAY
QQQ,short,2025-01-17T09:35:00-05:00,520.72,2025-01-17T13:12:00-05:00,523.05,48,523.05,497.42000000000075,0.048,0.0,-111.88799999999651,STOP_LOSS
QQQ,short,2025-01-21T09:35:00-05:00,524.03,2025-01-21T12:42:00-05:00,524.69,48,524.69,517.4299999999992,0.048,0.0,-31.728000000003927,STOP_LOSS
QQQ,long,2025-01-22T09:35:00-05:00,530.67,2025-01-22T15:59:00-05:00,531.51,47,529.26,544.7699999999996,0.047,0.0,39.4330000000015,END_OF_DAY
QQQ,long,2025-01-23T09:35:00-05:00,529.22,2025-01-23T15:59:00-05:00,532.72,47,528.45,536.9199999999998,0.047,0.0,164.453,END_OF_DAY
QQQ,short,2025-01-24T09:35:00-05:00,532.37,2025-01-24T09:45:00-05:00,533.1725,47,533.1725,524.3449999999999,0.047,0.0,-37.764500000000425,STOP_LOSS
QQQ,long,2025-01-27T09:35:00-05:00,513.67,2025-01-27T14:50:00-05:00,510.53,49,510.53,545.0699999999998,0.049,0.0,-153.90899999999934,STOP_LOSS
QQQ,short,2025-01-28T09:35:00-05:00,514.18,2025-01-28T10:01:00-05:00,515.63,49,515.63,499.6799999999995,0.049,0.0,-71.09900000000223,STOP_LOSS
QQQ,short,2025-01-29T09:35:00-05:00,520.95,2025-01-29T15:59:00-05:00,520.78,48,522.59,504.5500000000002,0.048,0.0,8.112000000003492,END_OF_DAY
QQQ,short,2025-01-30T09:35:00-05:00,523.01,2025-01-30T09:46:00-05:00,524.16,48,524.16,511.5100000000002,0.048,0.0,-55.24799999999891,STOP_LOSS
QQQ,long,2025-01-31T09:35:00-05:00,527.82,2025-01-31T09:36:00-05:00,526.74,47,526.74,538.6200000000005,0.047,0.0,-50.80700000000192,STOP_LOSS
QQQ,long,2025-02-03T09:35:00-05:00,513.7,2025-02-03T09:53:00-05:00,512.57,48,512.57,525.0,0.048,0.0,-54.28799999999978,STOP_LOSS
QQQ,long,2025-02-04T09:35:00-05:00,519.3,2025-02-04T15:59:00-05:00,524.54,48,518.23,529.9999999999993,0.048,0.0,251.47200000000043,END_OF_DAY
QQQ,short,2025-02-05T09:35:00-05:00,521.68,2025-02-05T09:36:00-05:00,522.07,48,522.07,517.779999999999,0.048,0.0,-18.7680000000048,STOP_LOSS
QQQ,short,2025-02-06T09:35:00-05:00,526.96,2025-02-06T09:44:00-05:00,527.42,48,527.42,522.3600000000008,0.048,0.0,-22.127999999996288,STOP_LOSS
QQQ,long,2025-02-07T09:35:00-05:00,531.58,2025-02-07T10:00:00-05:00,529.79,47,529.79,549.4800000000008,0.047,0.0,-84.17700000000363,STOP_LOSS
QQQ,short,2025-02-10T09:35:00-05:00,526.93,2025-02-10T09:36:00-05:00,527.62,47,527.62,520.0299999999994,0.047,0.0,-32.47700000000256,STOP_LOSS
