symbol,direction,entry_timestamp,entry_price,exit_timestamp,exit_price,quantity,stop_price,take_profit_price,fees,slippage,realized_pnl,exit_reason
QQQ,long,2025-01-02T09:55:00-05:00,515.13,2025-01-02T10:23:00-05:00,512.55435,10,512.55435,520.2813,0.0,0.0,-25.75649999999996,STOP_LOSS
QQQ,short,2025-01-03T10:21:00-05:00,512.9,2025-01-03T10:37:00-05:00,515.4644999999999,10,515.4644999999999,507.77099999999996,0.0,0.0,-25.644999999999527,STOP_LOSS
QQQ,long,2025-01-06T09:50:00-05:00,526.37,2025-01-06T13:45:00-05:00,523.73815,10,523.73815,531.6337,0.0,0.0,-26.318499999999858,STOP_LOSS
QQQ,short,2025-01-07T10:01:00-05:00,522.28,2025-01-07T10:39:00-05:00,517.0572,10,524.8913999999999,517.0572,0.0,0.0,52.228000000000065,TAKE_PROFIT
QQQ,long,2025-01-08T10:03:00-05:00,515.94,2025-01-08T10:12:00-05:00,513.3603,10,513.3603,521.0994000000001,0.0,0.0,-25.797000000000025,STOP_LOSS
QQQ,short,2025-01-10T09:47:00-05:00,508.365,2025-01-10T13:57:00-05:00,510.90682499999997,10,510.90682499999997,503.28135000000003,0.0,0.0,-25.418249999999603,STOP_LOSS
QQQ,long,2025-01-13T09:54:00-05:00,501.89,2025-01-13T15:59:00-05:00,505.6,10,499.38054999999997,506.9089,0.0,0.0,37.100000000000364,END_OF_DAY
QQQ,short,2025-01-14T09:54:00-05:00,507.2163,2025-01-14T12:35:00-05:00,502.144137,10,509.75238149999996,502.144137,0.0,0.0,50.72162999999989,TAKE_PROFIT
QQQ,long,2025-01-15T09:47:00-05:00,514.36,2025-01-15T15:59:00-05:00,516.53,10,511.7882,519.5036,0.0,0.0,21.69999999999959,END_OF_DAY
QQQ,short,2025-01-16T09:47:00-05:00,516.57,2025-01-16T15:59:00-05:00,513.07,10,519.15285,511.40430000000003,0.0,0.0,35.0,END_OF_DAY
QQQ,short,2025-01-17T10:28:00-05:00,519.1,2025-01-17T11:08:00-05:00,521.6954999999999,10,521.6954999999999,513.909,0.0,0.0,-25.954999999999018,STOP_LOSS
QQQ,short,2025-01-21T09:55:00-05:00,521.47,2025-01-21T12:28:00-05:00,524.07735,10,524.07735,516.2553,0.0,0.0,-26.073499999999967,STOP_LOSS
QQQ,long,2025-01-22T09:50:00-05:00,531.27,2025-01-22T15:59:00-05:00,531.51,10,528.61365,536.5826999999999,0.0,0.0,2.400000000000091,END_OF_DAY
QQQ,long,2025-01-23T10:35:00-05:00,529.75,2025-01-23T15:59:00-05:00,532.72,10,527.10125,535.0475,0.0,0.0,29.700000000000273,END_OF_DAY
QQQ,long,2025-01-24T09:47:00-05:00,533.15,2025-01-24T12:56:00-05:00,530.48425,10,530.48425,538.4815,0.0,0.0,-26.657500000000027,STOP_LOSS
QQQ,long,2025-01-27T09:48:00-05:00,515.36,2025-01-27T11:27:00-05:00,512.7832,10,512.7832,520.5136,0.0,0.0,-25.768000000000484,STOP_LOSS
QQQ,short,2025-01-28T09:48:00-05:00,511.88,2025-01-28T09:55:00-05:00,514.4394,10,514.4394,506.7612,0.0,0.0,-25.593999999999824,STOP_LOSS
QQQ,short,2025-01-29T10:27:00-05:00,520.0,2025-01-29T15:59:00-05:00,520.78,10,522.5999999999999,514.8,0.0,0.0,-7.799999999999727,END_OF_DAY
QQQ,long,2025-01-30T09:47:00-05:00,524.265,2025-01-30T10:19:00-05:00,521.643675,10,521.643675,529.50765,0.0,0.0,-26.21324999999956,STOP_LOSS
QQQ,long,2025-01-31T09:53:00-05:00,528.54,2025-01-31T13:37:00-05:00,525.8973,10,525.8973,533.8254,0.0,0.0,-26.426999999999907,STOP_LOSS
QQQ,short,2025-02-03T10:03:00-05:00,512.11,2025-02-03T10:24:00-05:00,514.6705499999999,10,514.6705499999999,506.9889,0.0,0.0,-25.60549999999921,STOP_LOSS
QQQ,long,2025-02-04T09:51:00-05:00,521.04,2025-02-04T15:59:00-05:00,524.54,10,518.4348,526.2504,0.0,0.0,35.0,END_OF_DAY
QQQ,long,2025-02-05T10:01:00-05:00,522.74,2025-02-05T15:59:00-05:00,526.85,10,520.1263,527.9674,0.0,0.0,41.100000000000136,END_OF_DAY
